time_ms,missed_ticks,min_cell_mV,max_cell_mV,max_temp_dC,soc_min_x10,soc_max_x10,cell_valid,temp_valid,soc_min_valid,soc_max_valid,override,init_source,D_table,D_factor,D_final,R_table,R_factor,R_final,C_table,C_factor,C_final,mode,vlow,vhigh,thigh,tlow,inputs_valid
0.0,0,0,0,0,0,0,0,0,0,0,0,DEFAULT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1,0,0,0,0,0,0,0,0,0,0,0,DEFAULT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,0,0,0,0,0,0,0,0,0,0,0,DEFAULT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.1,0,0,0,0,0,0,0,0,0,0,0,DEFAULT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.1,0,0,0,0,0,0,0,0,0,0,0,DEFAULT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.1,0,0,0,0,0,0,0,0,0,0,0,DEFAULT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.1,0,0,0,0,469,469,0,0,1,1,0,NVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
170.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
180.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
190.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
200.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
210.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
220.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
230.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
240.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
250.1,0,0,0,282,469,469,0,1,1,1,0,NVM,819,0,0,590,1000,0,556,1000,0,0,1,0,0,0,0
260.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
270.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
280.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
290.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
300.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
310.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
320.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
330.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
340.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
350.1,0,0,0,279,469,469,0,1,1,1,0,NVM,820,0,0,591,1000,0,557,1000,0,0,1,0,0,0,0
360.1,0,3632,3773,279,469,469,1,1,1,1,0,NVM,820,1000,820,591,1000,591,557,1000,0,0,0,0,0,0,1
370.1,0,3632,3773,279,469,469,1,1,1,1,0,NVM,820,1000,820,591,1000,591,557,1000,0,0,0,0,0,0,1
380.1,0,3632,3773,279,469,469,1,1,1,1,0,NVM,820,1000,820,591,1000,591,557,1000,0,0,0,0,0,0,1
390.1,0,3632,3773,279,469,469,1,1,1,1,0,NVM,820,1000,820,591,1000,591,557,1000,0,0,0,0,0,0,1
